DataCenter,Name,Primary Unit,Secondary Unit,Networks,Use,Accss IP
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,"10.113.54.0/23,10.113.62.0/23,10.113.70.0/25,10.113.78.0/25","Tier2 Staging DMZ,Tier2 Production DMZ,Tier1 Staging DMZ,Tier1 Production DMZ",10.113.0.71
SC9,sc9-prod-stage-dmz-2,10.113.0.82,10.113.0.83,"10.113.54.0/23,10.113.62.0/23,10.113.70.0/25,10.113.78.0/25","Tier2 Staging DMZ,Tier2 Production DMZ,Tier1 Staging DMZ,Tier1 Production DMZ",10.113.0.82
SC9,sc9-tier1-prod-int-1,10.113.72.71,10.113.72.72,10.113.76.0/24,Tier1 Production App Internal,10.113.76.13
SC9,sc9-tier1-stage-int-1,10.113.64.71,10.113.64.72,10.113.68.0/24,Tier1 Staging App Internal,10.113.68.13
SC9,sc9-tier2-prod-int-1,10.113.56.71,10.113.56.72,"10.113.60.0/23,10.113.160.0/23",Tier2 Production App Internal,10.113.60.13
SC9,sc9-tier2-prod-int-2,10.113.0.81,10.113.0.84,"10.113.60.0/23,10.113.160.0/23",Tier2 Production App Internal,10.113.0.81
SC9,sc9-tier2-stage-int-1,10.113.48.71,,10.113.52.0/23,Tier2 Staging App Internal,10.113.48.71
OSDC,osdc-prod-dmz-1,10.16.110.138,10.16.110.139,"10.16.79.0/26,10.16.79.128/26","DMZ-Apps-Production,DMZ-Service2 Production",10.16.110.138
OSDC,osdc-prod-int-1,10.16.24.201,10.16.24.202,"10.16.12.0/23,10.16.67.0/24,10.16.45.0/23",OSDC Internal Production,10.16.24.201
OSDC,osdc-non-prod-int-1,10.16.66.108,10.16.66.109,"10.16.67.0/24,10.16.20.0/23,10.16.40.0/23,10.16.27.0/24","OSDC Internal Staging,OSDC Dev/Test,OSDC Production/Stage Mix",10.16.66.108
OSDC,osdc-prod-stage-int-1,10.16.108.11,10.16.108.12,"10.16.27.0/24 ,10.16.71.0/26",OSDC Production/Stage Mix,10.16.108.11
WDC,wdc-lt-dmz-1,10.128.1.11,10.128.1.12,"10.128.156.0/22,10.128.184.0/25,10.128.38.0/24",Load Test DMZ,10.128.156.13
WDC,wdc-lt-int-1,10.128.2.11,10.128.2.12,"10.128.34.0/24,10.128.36.0/24 ",Load Test Internal Network,10.128.34.13
WDC,wdc-tier2-prod-int-1,10.128.5.11,10.128.5.12,"10.128.152.0/22,10.128.176.0/25","Tier2 Internal Production, CPP Internal Production",10.128.152.13
WDC,wdc-uat-dmz-1,10.128.7.11,10.128.7.12,"10.130.64.0/22,10.130.68.0/22",UAT DMZ Network,10.130.64.13
WDC,wdc-uat-int-1,10.128.7.111,10.128.7.112,"10.130.44.0/22,10.130.48.0/22, 10.130.40.0/22",UAT Internal Network,10.130.44.13
WDC,wdc-dev-test-int-1,10.128.6.11,10.128.6.12,10.128.80.0/20,Dev/Test Network,10.128.80.13
vFred,sc9-vfred-all-1,10.119.4.11,10.119.4.12,10.119.0.0,vFred,10.119.4.13
WDC,wdc-dev4-int-1,10.129.8.43,10.129.8.44,10.129.x.x,"VFred DR Network",10.129.8.201
WDC,ltm-onecloud-1,10.148.218.163,10.148.218.160,"10.148.232.0/23,10.148.80.0/22",OneCloud,10.148.232.3
SC9,lb1-VPRN-DMZ,10.113.18.50,10.113.18.54,"10.113.54.0/23,10.113.62.0/23,10.113.70.0/,10.113.208.x,10.113.210.x",DMZ-Apps-Production,10.113.70.41
SC9,ld2sc1-sjc3,10.113.18.59,10.113.18.59,"10.113.18.X",Knova,10.113.18.59
