"timestamp","ipaddress","arrayname","raidgroup","raidtype","rawblocks","logicalblocks","freeblocks"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","0","hot_spare","380749824","380749824","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","1","hot_spare","380749824","380749824","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","10","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","11","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","12","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","2","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","3","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","4","hot_spare","3841669120","3841669120","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","5","hot_spare","3841669120","3841669120","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","6","hot_spare","3841669120","3841669120","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","7","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","8","hot_spare","3841669120","3841669120","0"
"2012-4-11 14:7:46","10.128.204.64","wdc-vnx-2630","9","hot_spare","3841669120","3841669120","0"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","0","hot_spare","380749824","380749824","0"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","1","hot_spare","3841669120","3841669120","0"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","2","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","3","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","8","r5","5613383680","4490706944","81920"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","998","hot_spare","1121523712","1121523712","0"
"2012-4-11 14:7:46","10.119.0.203","vf-vnx7500-cs0","999","hot_spare","1121523712","1121523712","0"
