vendor,name,model,agentrev,promrev,revision
"emc","osdc-cx3-20-02","CX3-20","6.26.31 (2.70)","4.00.00","3.26.20.5.031"
"emc","osdc-cx3-80-01 Stage","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","osdc-cx3-40-02","CX3-40","6.26.31 (2.70)","4.00.00","3.26.40.5.031"
"emc","View_2","CX4-480","7.30.12 (0.73)","5.30.00","04.30.000.5.522"
"emc","osdc-cx3-80-05 Prod","CX3-10c","6.26.32 (0.72)","4.00.00","3.26.10.5.032"
"emc","sc9-ns4-960-01","CX4-960","7.30.12 (0.73)","7.00.00","04.30.000.5.522"
"emc","wdc-cx3-80-71 Test/Dev","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","osdc-cx3-40-01","CX3-40","6.26.31 (2.70)","4.00.00","3.26.40.5.031"
"emc","osdc-cx3-20-03","CX3-20","6.26.31 (2.70)","4.00.00","3.26.20.5.031"
"emc","View_1","CX4-480","7.30.12 (0.73)","5.30.00","04.30.000.5.522"
"emc","osdc-cx3-20-01","CX3-20","6.26.31 (2.70)","4.00.00","3.26.20.5.031"
"emc","wdc-cx3-80-12 Exchange","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","wdc-cx4-2311","CX4-960","7.30.12 (0.73)","7.00.00","04.30.000.5.522"
"emc","osdc-cx3-80-04 Exchange","CX3-80","6.26.32 (0.72)","5.15.00","3.26.80.5.032"
"emc","osdc-cx3-80-03 Prod","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","prb-cx3-10-01 Infrastructure","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","osdc-cx3-80-02 VDI PH3","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","wdc-cx3-80-11 Prod","CX3-80","6.26.31 (2.70)","5.15.00","3.26.80.5.031"
"emc","cx4-1870-spa (Zimbra/EXG)","CX4-960","7.30.12 (0.73)","7.00.00","04.30.000.5.522"
